Model,Batch Size,Num Threads,Execution Time
YAMNet,8,1,41.837812423706055
VGGish,8,1,153.3972773551941
BirdNET,8,1,14.345402240753174
Perch,8,1,313.56196761131287
YAMNet,32,1,44.472339153289795
VGGish,32,1,153.33604907989502
BirdNET,32,1,13.98975944519043
Perch,32,1,332.61660718917847
YAMNet,64,1,44.31711196899414
VGGish,64,1,153.25375771522522
BirdNET,64,1,14.372719526290894
Perch,64,1,344.12695956230164
YAMNet,128,1,44.782989501953125
VGGish,128,1,154.41136527061462
BirdNET,128,1,14.24875259399414
Perch,128,1,315.479355096817
Model,Batch Size,Num Threads,Execution Time
YAMNet,8,4,55.47700381278992
VGGish,8,4,94.47176885604858
BirdNET,8,4,13.973654508590698
Perch,8,4,207.50030517578125
YAMNet,32,4,53.60278654098511
VGGish,32,4,94.97019577026367
BirdNET,32,4,13.808377027511597
Perch,32,4,177.42933559417725
YAMNet,64,4,53.46308207511902
VGGish,64,4,95.31525230407715
BirdNET,64,4,14.047067642211914
Perch,64,4,163.59295845031738
YAMNet,128,4,55.94686961174011
VGGish,128,4,95.96815776824951
BirdNET,128,4,13.784349203109741
Perch,128,4,129.5137574672699
Model,Batch Size,Num Threads,Execution Time
YAMNet,8,8,65.26955723762512
VGGish,8,8,100.30388450622559
BirdNET,8,8,15.522183418273926
Perch,8,8,193.41077733039856
YAMNet,32,8,64.46680855751038
VGGish,32,8,99.55008339881897
BirdNET,32,8,15.389223098754883
Perch,32,8,153.400372505188
YAMNet,64,8,64.2037193775177
VGGish,64,8,100.7120578289032
BirdNET,64,8,15.24861192703247
Perch,64,8,130.84597086906433
YAMNet,128,8,67.53287553787231
VGGish,128,8,99.49928665161133
BirdNET,128,8,15.32410717010498
Perch,128,8,96.7799460887909
Model,Batch Size,Num Threads,Execution Time
YAMNet,8,12,71.91513752937317
VGGish,8,12,97.2535331249237
BirdNET,8,12,16.22054886817932
Perch,8,12,196.14906978607178
YAMNet,32,12,71.2034285068512
VGGish,32,12,96.0031943321228
BirdNET,32,12,15.811728715896606
Perch,32,12,149.49138402938843
YAMNet,64,12,71.23691439628601
VGGish,64,12,98.09018731117249
BirdNET,64,12,15.850669622421265
Perch,64,12,127.41173529624939
YAMNet,128,12,71.58018279075623
VGGish,128,12,97.15605902671814
BirdNET,128,12,15.69605827331543
Perch,128,12,91.34644794464111
Model,Batch Size,Num Threads,Execution Time
YAMNet,8,16,76.00565505027771
VGGish,8,16,87.63480544090271
BirdNET,8,16,16.784045219421387
Perch,8,16,196.90836691856384
YAMNet,32,16,78.19891333580017
VGGish,32,16,89.20122361183167
BirdNET,32,16,16.549002408981323
Perch,32,16,148.6301395893097
YAMNet,64,16,77.06387376785278
VGGish,64,16,88.72775959968567
BirdNET,64,16,16.464077949523926
Perch,64,16,127.08097624778748
YAMNet,128,16,77.08106327056885
VGGish,128,16,88.83032703399658
BirdNET,128,16,16.542914152145386
Perch,128,16,91.6648063659668
